12.52-41.90,0,0
12.54-41.88,5,1
12.80-41.51,2,0
12.51-41.89,15,4
12.52-41.87,0,0
12.53-41.87,10,2
12.44-41.95,0,0
12.41-41.79,14,4
12.48-41.86,6,1
12.48-41.87,3,0
12.46-41.85,2,0
12.47-41.87,4,1
12.62-41.82,1,0
12.61-41.82,2,0
12.48-41.88,0,0
12.53-41.97,0,0
12.57-41.89,13,3
12.41-41.91,2,0
12.63-41.88,6,1
12.38-41.94,0,0
12.47-41.88,2,0
12.43-41.94,2,0
12.47-41.90,10,2
12.40-41.91,0,0
12.48-41.91,0,0
12.50-41.88,7,2
12.50-41.89,14,4
12.44-41.93,3,0
12.54-41.96,0,0
12.44-41.82,9,2
12.45-41.91,10,2
12.51-41.99,5,1
12.36-41.77,0,0
12.67-41.86,0,0
12.62-41.86,7,2
12.54-41.90,8,2
12.46-41.90,2,0
12.73-41.92,0,0
12.52-41.93,6,1
12.52-41.91,2,0
12.50-41.90,6,1
12.27-41.73,5,1
12.27-41.74,0,0
12.47-41.93,3,0
12.38-41.73,0,0
12.37-41.69,3,0
12.44-41.90,1,0
12.39-41.83,0,0
12.47-41.89,1,0
12.46-41.89,0,0
12.48-41.89,7,2
12.51-41.91,5,1
12.40-41.89,0,0
12.46-41.94,0,0
12.47-41.91,7,2
12.38-41.92,8,2
12.43-41.90,0,0
12.37-41.78,0,0
12.33-41.75,0,0
12.51-41.87,0,0
12.52-41.89,0,0
12.57-41.90,3,0
12.60-41.91,2,0
12.51-41.83,6,1
12.59-41.84,10,2
12.61-41.90,0,0
12.54-41.92,0,0
12.61-41.91,8,2
12.43-41.85,0,0
12.36-41.79,0,0
12.57-41.91,0,0
12.42-41.83,1,0
12.57-41.87,1,0
12.64-41.94,6,1
12.44-41.97,2,0
12.55-41.94,3,0
12.66-41.84,0,0
12.42-41.94,2,0
12.60-41.83,0,0
12.32-42.04,7,2
12.58-41.94,0,0
12.51-41.92,4,1
12.49-41.90,2,0
12.50-41.91,2,0
12.46-41.84,28,8
12.44-41.87,7,2
12.57-41.85,0,0
12.38-42.04,0,0
12.49-41.89,10,2
12.47-41.83,2,0
12.54-41.87,9,2
12.46-41.91,7,2
12.31-42.04,0,0
,7,2
12.54-41.89,0,0
12.56-41.89,1,0
12.48-41.85,0,0
12.39-41.89,1,0
12.41-41.89,1,0
12.48-41.94,7,2
12.59-41.86,0,0
12.68-41.89,0,0
12.66-41.87,0,0
12.67-41.92,3,0
12.65-41.86,3,0
12.55-41.88,5,1
12.58-41.88,2,0
12.55-41.91,0,0
12.45-41.85,2,0
12.38-41.79,1,0
12.57-41.86,4,1
12.58-41.83,0,0
12.29-41.73,0,0
12.42-41.93,4,1
12.51-41.88,10,2
12.52-41.95,0,0
12.48-41.90,1,0
12.53-41.96,3,0
12.52-41.94,3,0
12.48-41.93,1,0
12.67-41.85,0,0
12.50-41.87,0,0
12.51-41.93,4,1
12.53-41.95,0,0
12.47-41.95,0,0
12.46-41.87,0,0
12.39-41.91,0,0
12.43-41.81,8,2
12.44-41.86,3,0
12.49-41.88,11,3
12.49-41.86,0,0
12.49-41.85,5,1
12.48-41.82,0,0
12.47-41.86,1,0
12.68-41.86,3,0
12.65-41.87,2,0
12.68-41.90,4,1
12.45-41.96,0,0
12.56-41.95,0,0
12.54-41.94,0,0
12.44-41.92,0,0
12.44-41.94,13,3
12.43-41.93,0,0
12.42-41.92,0,0
12.53-41.93,0,0
12.38-41.95,2,0
12.46-41.92,35,10
12.37-41.73,0,0
12.35-41.75,0,0
12.28-41.74,0,0
12.33-41.76,2,0
12.44-41.80,0,0
12.44-41.78,3,0
12.60-41.88,0,0
12.69-41.91,2,0
12.43-41.80,0,0
12.68-41.85,4,1
12.42-41.98,0,0
12.49-41.95,5,1
12.47-41.92,8,2
12.38-41.77,0,0
12.46-41.95,1,0
12.58-41.81,10,2
12.62-41.84,0,0
12.57-41.84,0,0
12.50-41.85,0,0
12.34-41.78,3,0
12.28-41.73,4,1
12.43-41.84,0,0
12.55-41.85,0,0
12.56-41.91,7,2
12.52-41.83,3,0
12.53-41.86,0,0
12.38-41.84,0,0
12.46-41.86,6,1
12.62-41.94,5,1
12.38-42.01,0,0
12.56-41.86,3,0
12.47-41.85,10,2
12.49-41.91,7,2
12.45-41.87,2,0
12.61-41.92,0,0
12.55-41.89,7,2
12.50-41.76,0,0
12.48-41.92,3,0
12.50-41.92,4,1
12.54-41.95,0,0
12.61-41.85,2,0
12.69-41.88,0,0
12.62-41.89,18,5
12.53-41.92,2,0
12.45-41.79,31,8
12.45-41.88,3,0
12.59-41.89,0,0
12.41-41.92,2,0
12.57-41.96,13,3
12.53-41.88,0,0
12.52-41.84,0,0
12.47-41.94,6,1
12.40-41.78,0,0
12.42-41.87,0,0
12.56-41.90,10,2
12.40-41.98,0,0
12.30-41.90,6,1
12.42-41.95,0,0
12.46-41.82,5,1
12.36-42.09,0,0
12.45-41.73,0,0
12.49-41.83,1,0
12.34-42.07,0,0
12.63-41.86,0,0
12.67-41.88,7,2
12.43-41.97,0,0
12.54-41.91,0,0
12.60-41.93,3,0
12.56-41.83,6,1
12.54-41.93,0,0
12.41-41.82,0,0
12.55-41.86,3,0
12.60-41.85,0,0
12.52-41.96,0,0
12.49-41.87,2,0
12.43-41.92,2,0
12.56-41.88,5,1
12.57-41.88,4,1
12.34-41.85,0,0
12.45-41.92,2,0
12.45-41.93,2,0
12.58-41.89,0,0
12.44-41.81,0,0
12.41-41.96,0,0
12.39-41.92,0,0
10.34-43.47,0,0
12.59-41.91,0,0
12.53-41.81,14,4
12.59-41.85,1,0
12.41-41.85,4,1
12.67-41.87,0,0
12.37-41.75,3,0
12.62-41.87,0,0
12.35-41.73,2,0
12.48-41.83,2,0
12.48-41.99,0,0
12.63-41.90,1,0
12.63-41.87,3,0
12.48-42.00,3,0
12.49-41.98,0,0
12.71-41.93,6,1
12.41-41.90,3,0
12.49-42.01,0,0
12.59-41.94,0,0
12.41-41.98,5,1
12.45-41.81,1,0
12.53-41.94,0,0
12.51-41.90,5,1
12.49-41.93,0,0
12.55-41.97,2,0
12.35-41.74,0,0
12.49-41.79,0,0
12.49-41.94,0,0
12.43-41.88,0,0
12.56-41.94,0,0
12.41-41.88,1,0
12.48-41.77,3,0
12.49-41.84,0,0
12.52-41.98,0,0
12.47-41.84,16,4
12.42-41.90,0,0
12.40-41.90,0,0
12.53-41.89,2,0
12.47-41.81,1,0
12.47-41.79,0,0
12.36-41.78,3,0
12.37-42.01,6,1
12.50-42.00,0,0
12.52-41.88,2,0
12.62-41.85,12,3
12.50-41.86,2,0
12.70-41.88,0,0
12.55-41.92,0,0
12.66-41.91,0,0
12.39-42.00,0,0
12.38-42.02,0,0
12.35-41.77,3,0
12.59-41.90,0,0
12.51-41.96,0,0
12.44-41.85,0,0
12.51-41.95,0,0
12.51-41.97,0,0
12.53-42.02,0,0
12.52-42.01,0,0
12.60-41.89,0,0
12.49-41.92,10,2
12.45-41.82,2,0
12.44-41.91,0,0
12.61-41.84,0,0
12.31-41.75,0,0
12.27-41.75,1,0
12.48-41.95,1,0
12.39-41.95,0,0
12.51-42.03,1,0
12.58-41.95,0,0
12.35-41.76,0,0
12.43-41.89,0,0
12.57-41.83,0,0
12.56-41.84,0,0
12.38-41.93,4,1
12.43-41.79,2,0
12.30-41.76,2,0
12.61-41.86,0,0
12.66-41.86,2,0
12.42-41.84,0,0
12.45-41.99,0,0
12.55-41.95,0,0
12.59-41.88,2,0
12.50-41.93,0,0
12.51-41.94,3,0
12.26-41.74,0,0
12.58-41.85,0,0
12.38-42.03,12,3
12.45-41.90,0,0
12.46-41.93,6,1
12.59-41.92,0,0
12.60-41.84,6,1
12.64-41.86,0,0
12.53-41.91,12,3
12.67-41.89,0,0
12.57-41.92,2,0
12.67-41.90,0,0
12.36-41.76,0,0
12.57-41.94,2,0
12.70-41.89,6,1
12.61-41.97,3,0
12.68-41.88,0,0
13.08-42.42,0,0
12.51-41.98,3,0
12.42-41.88,0,0
12.59-42.04,0,0
12.49-41.81,6,1
12.60-41.81,0,0
12.38-41.91,23,6
12.47-41.78,0,0
12.54-41.85,0,0
12.66-41.90,0,0
12.44-41.88,0,0
12.34-41.77,0,0
12.29-41.74,0,0
12.59-41.87,2,0
12.60-41.92,0,0
12.48-42.01,2,0
12.32-41.77,4,1
12.60-41.94,0,0
12.59-41.95,2,0
12.44-41.84,2,0
12.45-41.86,0,0
12.47-41.97,1,0
12.39-41.86,6,1
12.46-41.97,0,0
12.34-41.81,0,0
12.52-41.92,1,0
12.50-41.97,0,0
12.44-41.89,4,1
12.50-41.94,4,1
12.51-41.84,0,0
12.61-41.89,2,0
12.42-41.91,3,0
12.46-41.88,0,0
12.35-41.88,3,0
12.58-41.90,0,0
12.57-41.78,0,0
12.59-41.93,6,1
12.61-41.94,0,0
12.30-41.73,0,0
12.48-41.79,5,1
12.36-41.84,0,0
12.58-41.86,0,0
12.62-41.83,4,1
12.48-41.78,0,0
12.57-41.82,0,0
12.74-41.90,0,0
12.32-41.80,0,0
12.55-41.80,2,0
12.45-41.97,0,0
12.47-41.82,2,0
12.95-42.39,0,0
12.41-41.84,0,0
12.39-41.90,0,0
12.45-41.84,0,0
12.55-41.84,0,0
12.56-41.76,0,0
12.56-41.82,0,0
12.49-42.00,0,0
12.50-41.83,0,0
12.60-41.87,3,0
12.60-41.86,4,1
12.66-41.89,0,0
12.42-41.81,23,6
12.37-41.74,0,0
12.49-41.97,0,0
12.35-41.78,1,0
12.58-41.93,0,0
12.37-41.79,0,0
12.54-41.97,0,0
12.51-41.82,0,0
12.37-41.94,0,0
9.64-45.40,0,0
12.54-41.80,2,0
12.32-41.82,0,0
12.37-41.77,2,0
12.38-41.74,0,0
12.56-41.96,0,0
12.35-42.06,2,0
12.48-41.84,3,0
12.42-41.85,0,0
12.56-41.85,0,0
12.47-42.03,0,0
12.48-41.80,5,1
12.47-41.70,3,0
12.45-41.72,0,0
12.54-41.78,2,0
12.36-41.73,0,0
12.36-41.74,0,0
12.59-41.83,1,0
12.26-41.86,0,0
12.63-41.93,1,0
12.69-41.86,0,0
12.29-41.75,6,1
12.31-41.73,2,0
12.40-41.99,3,0
12.51-41.80,0,0
12.36-41.86,0,0
12.34-41.73,5,1
12.38-41.89,0,0
12.52-41.80,0,0
12.35-41.91,3,0
12.53-41.76,0,0
12.37-41.92,0,0
12.26-41.75,3,0
12.42-41.86,0,0
12.74-41.91,0,0
12.55-41.87,0,0
12.65-41.91,0,0
12.65-41.88,0,0
12.60-41.95,0,0
12.45-41.94,0,0
12.34-41.74,0,0
12.52-41.97,2,0
12.62-41.90,0,0
12.55-41.90,0,0
12.41-41.86,0,0
12.65-41.84,0,0
12.40-41.93,0,0
12.51-41.86,0,0
12.37-41.99,5,1
12.59-41.73,0,0
12.37-42.00,2,0
12.50-41.74,0,0
12.37-41.95,0,0
12.35-41.79,0,0
12.39-41.79,11,3
12.47-41.80,2,0
12.64-41.89,1,0
12.59-41.98,4,1
12.57-41.95,0,0
12.46-41.83,7,2
12.50-41.80,2,0
12.60-41.72,0,0
12.33-41.93,1,0
12.71-41.91,0,0
12.71-41.90,10,2
12.34-41.79,0,0
12.36-41.75,0,0
12.59-41.77,0,0
12.57-41.76,0,0
12.49-42.02,0,0
12.30-41.83,0,0
12.40-41.86,0,0
12.41-41.97,0,0
12.54-41.84,0,0
12.26-41.91,0,0
12.36-41.88,1,0
12.35-41.82,0,0
12.61-41.83,0,0
12.40-41.95,8,2
12.40-41.96,1,0
12.46-41.96,1,0
12.73-41.91,2,0
12.68-42.16,3,0
12.42-41.80,1,0
12.42-41.89,0,0
12.48-41.74,0,0
12.58-41.77,0,0
12.45-41.95,0,0
12.66-41.92,0,0
12.62-41.88,3,0
12.33-41.78,0,0
12.32-41.73,0,0
12.62-41.91,9,2
12.42-41.99,0,0
12.45-41.78,0,0
12.35-41.93,2,0
12.36-41.93,0,0
12.31-42.00,1,0
12.31-41.98,0,0
12.61-41.81,2,0
12.51-42.01,0,0
12.46-41.81,23,6
12.33-41.77,0,0
12.59-41.80,0,0
12.43-41.86,0,0
12.41-41.87,0,0
12.33-41.86,3,0
12.39-41.93,0,0
12.53-41.90,2,0
12.45-41.80,2,0
12.67-41.91,0,0
12.70-41.87,0,0
12.45-41.83,0,0
12.58-41.87,2,0
12.35-41.95,0,0
12.32-41.94,0,0
12.51-42.02,0,0
12.34-41.84,0,0
12.50-41.95,0,0
12.58-41.71,0,0
12.32-42.02,0,0
12.30-41.97,0,0
12.41-41.93,0,0
12.38-42.00,0,0
12.65-41.94,2,0
12.31-41.76,0,0
12.38-41.88,0,0
12.63-41.89,7,2
12.65-41.89,0,0
12.35-41.72,0,0
12.33-42.08,0,0
12.54-41.81,0,0
12.52-41.76,0,0
12.56-41.79,0,0
12.35-41.94,0,0
12.36-41.92,0,0
12.67-41.93,0,0
12.47-41.75,0,0
12.38-41.87,2,0
12.53-41.77,0,0
12.31-41.72,0,0
12.41-41.99,0,0
12.33-41.89,0,0
12.62-41.81,0,0
12.71-41.86,0,0
12.76-41.91,0,0
12.63-41.85,0,0
12.37-41.82,5,1
12.69-41.90,0,0
12.63-41.84,2,0
12.60-41.97,0,0
12.37-41.76,0,0
12.59-41.79,0,0
12.39-41.77,0,0
12.41-41.78,2,0
12.59-41.81,2,0
12.54-41.86,2,0
12.48-41.81,0,0
12.49-42.04,0,0
12.64-41.83,1,0
12.52-42.05,0,0
12.40-41.92,0,0
12.53-41.80,2,0
12.29-42.06,0,0
12.39-41.87,0,0
12.32-41.81,0,0
12.56-41.93,2,0
12.63-41.94,0,0
12.57-41.93,0,0
12.38-41.78,0,0
12.63-41.96,0,0
12.64-41.93,0,0
12.60-41.90,0,0
12.44-41.96,0,0
12.68-41.91,0,0
12.69-41.87,0,0
12.49-41.99,0,0
12.64-41.82,0,0
12.37-41.87,0,0
12.34-42.02,0,0
12.66-41.85,0,0
12.63-41.92,0,0
12.64-41.96,0,0
12.58-41.84,0,0
12.32-42.06,0,0
12.70-41.90,0,0
12.56-42.04,0,0
12.38-41.90,1,0
12.70-41.86,0,0
12.68-41.87,0,0
12.36-41.95,0,0
12.44-42.03,0,0
12.48-41.96,0,0
12.39-41.94,0,0
12.78-41.91,0,0
12.39-41.68,0,0
12.45-42.00,2,0
12.42-41.79,0,0
12.58-41.91,0,0
12.58-41.96,0,0
12.43-41.72,0,0
12.37-41.89,4,1
12.46-41.71,0,0
12.42-41.82,0,0
12.53-41.78,0,0
12.44-41.79,0,0
12.58-42.05,2,0
12.44-41.76,0,0
12.43-41.82,0,0
12.52-41.86,1,0
13.00-41.74,0,0
12.38-41.75,1,0
12.50-41.77,1,0
12.30-41.82,0,0
12.35-41.92,0,0
12.64-41.87,3,0
12.65-41.93,0,0
12.46-41.79,0,0
12.43-41.95,0,0
12.50-41.99,9,2
12.43-41.78,1,0
12.63-41.91,0,0
12.30-41.72,0,0
12.54-41.98,1,0
12.32-41.71,0,0
12.60-41.96,0,0
12.31-41.82,0,0
12.35-41.85,0,0
12.33-41.85,0,0
12.53-41.85,0,0
12.53-41.83,4,1
12.56-41.92,0,0
12.52-42.00,0,0
12.33-41.72,0,0
12.49-41.82,1,0
12.63-41.81,0,0
12.36-42.06,0,0
12.48-41.76,0,0
12.31-41.81,0,0
12.50-41.84,0,0
12.45-41.69,1,0
12.49-41.96,0,0
12.32-41.79,0,0
12.71-41.89,0,0
12.41-41.95,0,0
12.51-41.79,2,0
12.55-41.83,0,0
12.54-41.79,1,0
12.70-41.84,0,0
12.34-41.83,3,0
12.36-41.82,0,0
12.45-42.03,0,0
12.47-42.02,0,0
12.63-41.80,0,0
12.25-41.74,0,0
12.34-42.06,0,0
12.64-41.80,4,1
12.44-41.77,8,2
12.34-41.88,0,0
12.34-41.82,0,0
12.53-41.98,0,0
12.64-41.95,0,0
12.43-41.71,0,0
12.32-41.76,0,0
12.39-41.82,0,0
12.53-41.71,0,0
12.34-41.71,3,0
12.43-41.98,0,0
12.33-41.81,0,0
12.50-41.82,0,0
12.40-41.82,0,0
12.35-41.86,0,0
12.28-41.75,0,0
12.69-41.92,0,0
12.52-41.78,0,0
12.30-41.89,0,0
12.52-41.79,0,0
12.49-41.69,0,0
12.51-41.85,0,0
12.64-41.84,0,0
12.64-41.85,0,0
12.36-41.80,0,0
12.61-41.93,0,0
12.24-42.02,0,0
12.65-41.90,0,0
12.34-41.93,0,0
12.33-42.06,0,0
12.51-41.81,0,0
12.50-42.01,0,0
12.37-42.03,0,0
12.72-41.85,0,0
12.38-42.05,0,0
12.48-42.04,0,0
12.58-41.80,2,0
12.57-41.81,0,0
12.40-41.88,0,0
12.60-41.82,0,0
12.44-41.99,0,0
12.55-41.93,0,0
12.46-41.80,0,0
12.55-41.77,0,0
12.68-41.93,0,0
12.39-41.78,0,0
12.57-41.71,1,0
12.66-41.94,0,0
12.52-41.99,0,0
12.67-41.96,2,0
12.49-42.03,0,0
12.40-41.80,2,0
12.31-41.77,2,0
12.31-41.83,0,0
12.62-41.98,0,0
12.55-41.71,5,1
12.55-42.01,0,0
12.52-41.82,2,0
12.47-41.98,0,0
12.70-41.85,1,0
12.48-42.07,0,0
12.32-41.89,2,0
12.29-41.97,0,0
12.38-41.76,0,0
12.33-42.04,4,1
12.32-41.72,0,0
12.33-41.88,0,0
12.35-41.87,0,0
12.61-41.95,0,0
12.62-41.93,0,0
12.30-42.04,0,0
12.62-41.92,0,0
12.51-41.73,0,0
12.45-41.89,0,0
12.43-41.87,0,0
12.44-41.83,1,0
12.52-41.70,0,0
12.69-41.89,0,0
12.59-41.96,0,0
12.27-41.91,0,0
12.32-41.75,0,0
12.56-41.75,4,1
12.47-42.04,1,0
12.30-41.75,0,0
12.25-42.05,0,0
12.40-41.97,0,0
12.55-41.76,0,0
12.43-41.91,0,0
12.34-42.08,0,0
12.61-41.80,0,0
12.43-41.83,0,0
12.63-41.82,0,0
12.69-41.85,1,0
12.49-41.80,1,0
12.56-41.98,0,0
12.45-41.77,0,0
12.47-41.77,0,0
12.55-41.79,0,0
12.59-41.72,10,2
12.52-41.85,0,0
12.30-42.03,0,0
12.40-41.79,0,0
12.56-41.87,0,0
12.65-41.85,0,0
12.43-41.73,0,0
12.57-41.99,0,0
12.54-41.83,0,0
12.59-41.74,0,0
12.38-41.85,0,0
12.48-41.98,0,0
12.36-41.89,1,0
12.33-41.71,0,0
12.51-41.78,0,0
12.59-41.71,0,0
12.68-41.97,0,0
12.47-42.01,0,0
12.36-41.87,0,0
12.72-41.91,2,0
12.72-41.92,0,0
12.57-42.05,0,0
12.68-41.92,3,0
12.50-41.78,1,0
12.65-41.95,0,0
12.46-41.75,0,0
12.55-41.96,0,0
12.72-41.86,0,0
12.29-41.90,2,0
12.41-41.83,0,0
12.31-41.78,0,0
12.33-41.82,0,0
12.41-41.94,0,0
12.66-41.93,2,0
12.52-41.68,0,0
12.35-41.70,0,0
12.44-41.98,0,0
12.66-41.88,0,0
12.55-41.98,0,0
12.37-41.91,0,0
12.37-41.90,0,0
12.26-41.90,1,0
12.52-41.73,0,0
12.40-41.77,0,0
12.50-41.73,0,0
12.58-41.76,0,0
12.30-41.78,0,0
12.37-42.02,0,0
12.65-41.82,0,0
12.64-41.88,0,0
12.61-41.96,0,0
12.59-41.70,0,0
12.37-42.05,0,0
12.36-41.94,0,0
12.59-41.82,0,0
12.56-41.81,0,0
12.31-41.96,0,0
12.45-41.68,2,0
12.63-41.83,0,0
12.48-41.70,0,0
12.39-41.84,0,0
12.44-41.73,0,0
12.52-41.81,0,0
12.33-41.83,0,0
12.57-42.00,0,0
12.34-42.09,0,0
12.61-41.88,0,0
12.34-41.70,0,0
12.54-41.71,0,0
12.36-42.02,0,0
12.49-41.77,0,0
12.30-41.77,0,0
12.29-41.72,0,0
12.38-41.82,0,0
12.45-41.98,0,0
11.19-43.77,0,0
12.35-41.96,0,0
12.36-41.97,0,0
12.40-41.85,0,0
12.56-41.73,0,0
12.50-41.75,0,0
12.39-41.88,0,0
12.28-42.02,0,0
12.38-41.96,0,0
12.39-42.02,0,0
12.40-41.67,0,0
12.37-41.86,0,0
12.43-41.77,0,0
12.31-42.01,0,0
12.40-41.83,0,0
12.46-42.00,0,0
12.46-41.74,0,0
12.33-41.79,0,0
12.34-41.75,0,0
12.43-42.01,0,0
12.70-41.91,0,0
12.27-42.04,0,0
12.50-42.03,0,0
12.56-41.74,0,0
12.65-41.92,0,0
12.36-41.83,0,0
12.64-41.91,0,0
12.26-41.73,0,0
12.44-41.72,0,0
12.37-41.97,0,0
12.29-41.91,0,0
12.49-42.06,0,0
12.44-41.75,0,0
12.38-41.83,0,0
12.30-41.85,0,0
12.47-41.74,0,0
12.31-41.95,0,0
12.57-42.04,0,0
12.51-41.72,0,0
12.71-41.85,0,0
12.36-42.05,0,0
12.70-41.93,0,0
12.33-42.07,0,0
12.36-41.85,0,0
12.47-41.76,0,0
8.93-44.41,0,0
12.50-41.79,0,0
12.34-41.76,0,0
12.30-41.84,0,0
12.43-41.74,0,0
12.54-41.76,0,0
12.29-42.03,0,0
12.35-42.09,0,0
13.21-43.60,0,0
12.61-41.87,0,0
12.39-41.99,3,0
12.58-41.92,1,0
12.50-41.98,0,0
12.48-41.75,0,0
12.24-41.74,0,0
12.42-41.71,0,0
12.46-41.99,0,0
12.37-42.06,0,0
12.48-42.06,0,0
12.31-41.89,0,0
12.32-41.91,0,0
12.41-41.80,0,0
12.60-41.78,0,0
12.31-41.97,0,0
13.33-41.63,0,0
12.51-41.76,0,0
12.35-42.07,0,0
12.52-41.71,0,0
12.36-41.71,0,0
12.49-41.66,0,0
12.39-41.96,0,0
12.37-41.93,0,0
12.69-41.93,1,0
12.44-42.00,0,0
12.28-41.90,0,0
12.27-41.90,0,0
12.40-42.07,0,0
12.33-41.80,0,0
12.55-41.99,0,0
12.54-42.03,0,0
12.36-41.70,2,0
12.35-42.02,0,0
12.43-42.00,0,0
12.33-41.95,0,0
12.34-41.87,0,0
12.32-41.78,0,0
12.49-41.78,0,0
12.56-41.77,5,1
12.31-42.02,0,0
12.32-41.95,1,0
12.39-42.03,0,0
12.33-41.74,0,0
12.59-41.76,0,0
12.48-41.97,0,0
12.60-41.69,0,0
12.29-41.83,0,0
12.58-41.97,0,0
12.85-41.87,0,0
12.50-41.81,0,0
12.44-41.69,0,0
12.50-41.68,1,0
12.64-41.92,0,0
12.51-42.04,0,0
12.34-41.90,0,0
12.34-41.89,0,0
12.59-41.69,0,0
12.47-41.96,0,0
12.53-41.70,0,0
12.55-41.78,0,0
12.53-41.79,0,0
12.42-42.01,0,0
12.58-41.72,0,0
12.46-41.73,0,0
12.46-42.03,0,0
12.56-41.71,0,0
12.54-42.00,0,0
12.53-41.99,0,0
12.58-41.82,0,0
12.49-42.05,0,0
12.46-42.01,0,0
12.48-42.03,0,0
12.55-41.81,0,0
10.48-44.08,0,0
12.32-41.90,1,0
12.40-41.87,0,0
12.37-41.85,0,0
12.39-42.04,0,0
12.46-41.72,0,0
12.62-41.97,0,0
12.33-41.87,0,0
