URL;Date
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/7c78c72c-648a-461f-9976-84d14cd3af6f/download/20200615.csv;15/06/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/a6ede111-4456-4af0-a47b-430f3d1c8187/download/20200616.csv;16/06/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/25c27ebd-2847-4353-880a-fc1a98aa4472/download/20200617.csv;17/06/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/bbe14045-b82d-4757-9f7b-d345a2b2506c/download/20200618.csv;18/06/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/b2f4adc5-d2af-4666-a3d4-16009cdc7fcb/download/20200619.csv;19/06/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/25484149-ce45-4364-bef1-928767ceaebb/download/20200620.csv;20/06/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/2f45679b-2d91-4b11-93d2-be07ccb169fd/download/20200621.csv;21/06/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/d537f2fa-8e17-4617-b70b-ebe217bc6b7d/download/20200622.csv;22/06/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/42c8490b-fe11-4569-8ae1-d197832158ee/download/20200623.csv;23/06/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/e745e531-4bd2-48e8-bcbd-bf2250976c6d/download/20200624.csv;24/06/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/7ef4c5d7-4acb-4089-aab3-74887c41d18f/download/20200625.csv;25/06/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/d0d1f70c-5fb4-4ae7-a376-52538169d06e/download/20200626.csv;26/06/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/37557226-1d04-4df8-9280-f6b48138677c/download/20200627.csv;27/06/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/23240ecb-93bf-4ace-a331-fedf81744247/download/20200628.csv;28/06/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/ce340e43-3aa0-4bef-b1a5-4798d81ad7ea/download/20200629.csv;29/06/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/1bb39ab6-f7a1-4e51-a2bb-fc771d368ca8/download/20200630.csv;30/06/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/40ef4319-9975-4edd-8099-245eb49a3fa8/download/20200701.csv;01/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/6d2d845d-1a18-425d-b962-16dcf925ed31/download/20200702.csv;02/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/137fa42a-14bd-4d05-ba96-757cac261881/download/20200703.csv;03/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/e0368767-ede3-4aa2-ad79-c64444d6b85b/download/20200704.csv;04/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/81d5f699-187d-4555-823f-f5ec20fc7d38/download/20200705.csv;05/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/94397090-a1c8-4cb0-b02c-58be8175262d/download/20200706.csv;06/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/c284fd2a-4da4-4e7d-b7d7-71992f4576bb/download/20200707.csv;07/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/035d861a-d560-4c38-b813-351de21e2bcc/download/20200708.csv;08/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/5d859de9-c98f-4ba3-9c78-11cf74bf1d6a/download/20200709.csv;09/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/4da62d04-5631-4045-a2a1-5a80a031f58e/download/20200710.csv;10/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/f20f183e-2cd5-45c6-911c-734e5fc669f0/download/20200711.csv;11/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/22212ebb-c690-4c20-bfa4-8e92358c51fc/download/20200712.csv;12/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/5b80b3f4-1ad2-4bcd-bf54-3ddca7cb67b4/download/20200713.csv;13/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/bb714aac-8f23-4aa0-bcfa-27869941d79d/download/20200714.csv;14/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/5c79ad66-67f2-4dbd-a55d-c23b542daed8/download/20200715.csv;15/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/7bf34fee-5d97-426b-8f6d-23cb5ce5c55b/download/20200716.csv;16/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/65c59a72-b119-4887-9f12-46cf400dc752/download/20200717.csv;17/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/3ffd74a6-cfb3-418e-9b64-665a777dc743/download/20200718.csv;18/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/be4b399f-4c05-4181-ae5e-c49a358cd2d8/download/20200719.csv;19/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/897492ba-b2d0-4f12-9c74-385da4d8207a/download/20200720.csv;20/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/bfc6f318-e5aa-4e13-afb8-f02a4c4ca0f4/download/20200721.csv;21/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/947b1ea3-dc09-40cc-8803-e43ad8ab6165/download/20200722.csv;22/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/be8e3fe3-279a-46f6-b7f3-92e2899a5e99/download/20200723.csv;23/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/c2fded4d-7cbc-4447-bf15-6c4d598a0165/download/20200724.csv;24/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/10a16493-647e-4213-bdf9-f0c1eff757d0/download/20200725.csv;25/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/c2cfedb2-b1ff-4710-ba94-fcdba665ac94/download/20200726.csv;26/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/31b3b4e9-ef05-414e-8c3f-f532dc2cd012/download/20200727.csv;27/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/4e9fee5c-624d-4429-bc1d-fcafa0c1c4ab/download/20200728.csv;28/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/a25bcb82-ba17-4e53-acf9-f4840435ff68/download/20200729.csv;29/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/2e74cb1b-6f1a-4cd8-b28f-a74e397a7adb/download/20200730.csv;30/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/2e383b9f-9459-4e8f-aa5b-4ae8fbc71c05/download/20200731.csv;31/07/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/240fa9ba-db11-46de-b9c3-96443a1079ec/download/20200801.csv;01/08/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/f59ee7f5-c222-498d-a617-24438337be58/download/20200802.csv;02/08/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/2983d7df-c86a-4ec4-96ac-4d13d4b017d9/download/20200803.csv;03/08/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/7314613f-699f-49b9-8a05-b493acd1c910/download/20200804.csv;04/08/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/9e5925c5-db4a-4fca-a781-f0a144d8abe4/download/20200805.csv;05/08/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/dc4815b1-a85d-449e-9118-a64e8db45551/download/20200806.csv;06/08/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/4d1be0b6-fc6c-4935-8939-72c1b9e302e7/download/20200807.csv;07/08/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/c2f8668a-62a9-4f86-97d5-da572975f06d/download/20200808.csv;08/08/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/20ae41d3-3cbb-4868-8075-9e1a43bb5ff4/download/20200809.csv;09/08/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/be07fcef-c50e-4fb5-a82b-d2333d304f04/download/20200810.csv;10/08/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/2ecaebfc-6fc4-4b79-a9c7-35bd97aede6b/download/20200811.csv;11/08/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/1cc8c1f4-e859-4b65-9d47-eb370cf5d07b/download/20200812.csv;12/08/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/a6a5c2b8-49b0-49c2-930c-b4577ccad086/download/20200813.csv;13/08/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/c38074f3-f684-48f4-8979-4b0cd629fca2/download/20200814.csv;14/08/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/c211602e-7ad0-4094-8a11-34ffb739309c/download/20200815.csv;15/08/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/0bc68917-fae7-4616-add0-9c550424cbf6/download/20200816.csv;16/08/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/cfaf4754-0b95-4ce6-b7f9-e58ed4407bd5/download/20200817.csv;17/08/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/dcc51da2-b453-4ccf-932a-dbb8ab25f3d0/download/20200818.csv;18/08/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/05d9cde7-f3ae-448c-8b53-945017bb4b63/download/20200819.csv;19/08/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/705b3060-4aa4-4047-9860-b90ec8554446/download/20200820.csv;20/08/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/b7303528-47ee-4dc4-bfa4-56c060c70145/download/20200821.csv;21/08/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/6e6b0abc-44ee-4210-b81f-356fabc0a288/download/20200822.csv;22/08/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/cc17d722-3393-450d-9f1c-357cf7ed58cd/download/20200823.csv;23/08/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/7e77baae-51a6-46a1-bfc2-73376a2a8158/download/20200824.csv;24/08/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/a62fdf9e-0d1d-4ce0-9bea-f8ec9d2ed0eb/download/20200825.csv;25/08/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/0203464f-85df-48d4-82e2-a25af8d42c68/download/20200826.csv;26/08/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/df6de421-ff7b-44fa-982e-83fa36f6bdef/download/20200827.csv;27/08/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/878b869c-0d1d-4514-8583-e0c0c87c9c65/download/20200828.csv;28/08/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/72b3cb3d-7087-457d-b21f-8eb894127885/download/20200829.csv;29/08/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/dbc4ff88-cc6f-473c-aeb0-b6e5553a3a0f/download/20200830.csv;30/08/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/6f630a1f-d4f2-4d8d-81fe-726236fdbb61/download/20200831.csv;31/08/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/343ae594-f5d4-4a4d-80f7-ca7eb65461c9/download/20200901.csv;01/09/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/719a8017-b0ba-4e97-a15c-8524cb8bd255/download/20200902.csv;02/09/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/5bd781c5-61f3-4b4e-8e2f-8f0d26ff09ed/download/20200903.csv;03/09/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/58238618-1b27-4885-ad95-1dd53102d3b9/download/20200904.csv;04/09/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/34db00b3-4a2d-417c-9918-5f951b214184/download/20200905.csv;05/09/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/1fb59c0d-4733-4bfb-ae2b-bb9df962d767/download/20200906.csv;06/09/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/77f9f9e1-7b2d-409c-895b-ae3e36ac94ef/download/20200907.csv;07/09/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/97166836-78b6-431d-a0c7-be81b893e87f/download/20200908.csv;08/09/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/0a72e35d-451d-4714-bf6d-09d664088bd7/download/20200909.csv;09/09/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/54c7d94a-c0c7-4b9f-8872-bdef1299e771/download/20200910.csv;10/09/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/b9140d25-0c39-401f-bdeb-0c3177f4716f/download/20200911.csv;11/09/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/4ee9358e-a387-4741-bb41-97a899e08fd5/download/20200912.csv;12/09/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/99a80a69-3752-46d3-a245-84b28c8aef36/download/20200913.csv;13/09/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/b40aedc2-fcfc-4e65-9b69-0e1cea24fc93/download/20200914.csv;14/09/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/a2d792fd-2b67-446e-afe8-e61874fe51a9/download/20200915.csv;15/09/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/c665c4ba-45ae-4fce-bf6f-e4dd7d987fd9/download/20200916.csv;16/09/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/8cdfc74a-56df-4403-ad4f-079e4cec5f76/download/20200917.csv;17/09/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/46ca6408-f515-4741-9394-39d16ba70d82/download/20200918.csv;18/09/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/d75e7b1a-019c-44bb-bb5a-55db610b4b91/download/20200919.csv;19/09/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/9fc949a2-9988-42c8-af55-2157565fd8c1/download/20200920.csv;20/09/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/c832af29-3615-4183-a48a-dc48d3a2b799/download/20200921.csv;21/09/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/20f03812-3002-48b0-841a-e960356511b9/download/20200922.csv;22/09/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/4ebe7b31-a4e2-4a4c-9902-6e56d7bf7730/download/20200923.csv;23/09/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/5008abca-0192-49eb-ba1b-7ad643d84394/download/20200924.csv;24/09/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/e69f0f09-22e3-469e-874b-2cd55654934f/download/20200925.csv;25/09/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/77879ea6-d660-4701-a3d4-a9a33dc4d821/download/20200926.csv;26/09/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/23b7de1a-6d23-4b45-aaea-8e6c89e24a04/download/20200927.csv;27/09/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/09b909fb-b88d-4351-9f55-2bb9fc5aa0ae/download/20200928.csv;28/09/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/2b8ccb97-67de-4396-8c7a-966d63c6d384/download/20200929.csv;29/09/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/965116e0-0e09-4406-b18f-a1ef125e24c6/download/20200930.csv;30/09/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/b4ab18fe-ce81-4657-80f5-2ce5c69918fb/download/20201001.csv;01/10/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/bacb8fec-98dc-4bc5-9468-541b27dbe7ed/download/20201002.csv;02/10/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/7fa3f972-be2f-4aa9-88a8-a6901f5f38d8/download/20201003.csv;03/10/2020
http://dati.comune.roma.it/catalog/dataset/34ba4bd9-45ba-4cb6-a9e8-c95cb2343eb8/resource/49c31ef9-39b5-4361-97a9-bfb86793a1ee/download/20201004.csv;04/10/2020
